,公司代號,公司名稱,實收資本額
0,1101,台灣水泥股份有限公司,61574403270
1,1102,亞洲水泥股份有限公司,33673794600
2,1103,嘉新水泥股份有限公司,7747805480
3,1104,環球水泥股份有限公司,6536091920
4,1108,幸福水泥股份有限公司,4047380490
5,1109,信大水泥股份有限公司,3419578680
6,1110,東南水泥股份有限公司,5720007970
7,1201,味全食品工業股份有限公司,5060629140
8,1203,味王股份有限公司,2400000000
9,1210,大成長城企業股份有限公司,8273390860
10,1213,大西洋飲料股份有限公司,566226270
11,1215,台灣卜蜂企業股份有限公司,2679909980
12,1216,統一企業股份有限公司,56820154210
13,1217,愛之味股份有限公司,4945133360
14,1218,泰山企業股份有限公司,4999990380
15,1219,福壽實業股份有限公司,3220138870
16,1220,台榮產業股份有限公司,1770779440
17,1225,福懋油脂股份有限公司,2187030510
18,1227,佳格食品股份有限公司,9150895910
19,1229,聯華實業投資控股股份有限公司,12814982150
20,1231,聯華食品工業股份有限公司,1833251650
21,1232,大統益股份有限公司,1599749150
22,1233,天仁茶業股份有限公司,905919480
23,1234,黑松股份有限公司,4018710940
24,1235,興泰實業股份有限公司,1043979850
25,1236,宏亞食品股份有限公司,1083425100
26,1256,鮮活控股股份有限公司,338421600
27,1301,台灣塑膠工業股份有限公司,63657407810
28,1303,南亞塑膠工業股份有限公司,79308215890
29,1304,台灣聚合化學品股份有限公司,11887635000
30,1305,華夏海灣塑膠股份有限公司,5533814230
31,1307,三芳化學工業股份有限公司,3978181260
32,1308,亞洲聚合股份有限公司,5821018820
33,1309,台達化學工業股份有限公司,3442310380
34,1310,台灣苯乙烯工業股份有限公司,5278697640
35,1312,國喬石油化學股份有限公司,9266203280
36,1313,聯成化學科技股份有限公司,13323476070
37,1314,中國石油化學工業開發(股)公司,32848501300
38,1315,達新工業股份有限公司,1386000000
39,1316,上曜建設開發股份有限公司,1798456260
40,1319,東陽實業廠股份有限公司,5914770680
41,1321,大洋塑膠工業股份有限公司,2272282680
42,1323,永裕塑膠工業股份有限公司,912745540
43,1324,地球綜合工業股份有限公司,751218820
44,1325,恒大股份有限公司,852811980
45,1326,台灣化學纖維股份有限公司,58611862910
46,1337,亞洲塑膠再生資源控股有限公司,2689547290
47,1338,廣華控股有限公司,838400000
48,1339,昭輝實業股份有限公司,741388750
49,1340,勝悅新材料有限公司,1529228550
50,1341,富林塑膠工業(開曼)控股(股)公司,494000000
51,1342,八貫企業股份有限公司,678453630
52,1402,遠東新世紀股份有限公司,53528752270
53,1409,新光合成纖維股份有限公司,16184092910
54,1410,南洋染整股份有限公司,630000000
55,1413,宏洲纖維工業股份有限公司,1321124540
56,1414,東和紡織股份有限公司,2200000000
57,1416,廣豐實業股份有限公司,1853421680
58,1417,嘉裕股份有限公司,1899418400
59,1418,東華合纖股份有限公司,568343090
60,1419,新光紡織股份有限公司,3000412800
61,1423,利華羊毛工業股份有限公司,1384000000
62,1432,大魯閣實業股份有限公司,750000000
63,1434,福懋興業股份有限公司,16846646370
64,1435,中福國際(股)公司,1397800800
65,1436,華友聯開發股份有限公司(原福益),956340000
66,1437,勤益投資控股股份有限公司,2033712840
67,1438,三地開發地產股份有限公司,512057590
68,1439,中和羊毛工業股份有限公司,920000000
69,1440,臺南紡織股份有限公司,16568158570
70,1441,大東紡織股份有限公司,1008000000
71,1442,名軒開發股份有限公司,3662113580
72,1443,立益紡織股份有限公司,1353430110
