,ma30,1/6,1/5,1/4
45.95,297,,,
46.0,18555,,,
46.05,1691,,,
46.1,3680,,,
46.15,3361,,,
46.2,1769,,,
46.25,1049,,,
46.3,4314,,,
46.35,5114,,,
46.4,9630,,,
46.45,7728,,,
46.5,17092,,,
46.55,17524,,,
46.6,7429,,,
46.65,3255,,,
46.7,3501,,,
46.75,2163,,,
46.8,3393,,,
46.85,2188,,,
46.9,5301,,,
46.95,7335,,,
47.0,12045,,25.0,59.0
47.05,9075,,208.0,1780.0
47.1,26755,,4558.0,3213.0
47.15,23944,562,3734.0,1678.0
47.2,15608,2104,829.0,1014.0
47.25,14955,2424,508.0,574.0
47.3,16023,1288,12.0,1128.0
47.35,8979,631,,331.0
47.4,11985,956,,544.0
47.45,16937,1571,,941.0
47.5,8527,1174,,259.0
47.55,8390,210,,36.0
47.6,13130,1486,,14.0
47.65,5061,,,
47.7,4667,,,
47.75,1397,,,
47.8,3044,,,
47.85,3258,,,
47.9,2987,,,
47.95,2478,,,
48.0,7433,,,
48.05,4324,,,
48.1,6858,,,
48.15,3774,,,
48.2,441,,,
48.25,71,,,
